PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Barcelona;Alt Penedès;Pacs del Penedès;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Pacs del Penedès;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;El Pla del Penedès;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;303;39,05
Barcelona;Alt Penedès;El Pla del Penedès;JxCAT;JUNTS PER CATALUNYA-JUNTS;169;21,78
Barcelona;Alt Penedès;El Pla del Penedès;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);87;11,21
Barcelona;Alt Penedès;El Pla del Penedès;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;80;10,31
Barcelona;Alt Penedès;El Pla del Penedès;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;49;6,31
Barcelona;Alt Penedès;El Pla del Penedès;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;39;5,03
Barcelona;Alt Penedès;El Pla del Penedès;VOX;VOX;17;2,19
Barcelona;Alt Penedès;El Pla del Penedès;PP;PARTIDO POPULAR/PARTIT POPULAR;15;1,93
Barcelona;Alt Penedès;El Pla del Penedès;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;12;1,55
Barcelona;Alt Penedès;El Pla del Penedès;CNV;CONVERGENTS;1;0,13
Barcelona;Alt Penedès;El Pla del Penedès;IZQP;IZQUIERDA EN POSITIVO;1;0,13
Barcelona;Alt Penedès;El Pla del Penedès;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,13
Barcelona;Alt Penedès;El Pla del Penedès;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1;0,13
Barcelona;Alt Penedès;El Pla del Penedès;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Barcelona;Alt Penedès;Pontons;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;70;24,39
Barcelona;Alt Penedès;Pontons;JxCAT;JUNTS PER CATALUNYA-JUNTS;66;23,00
Barcelona;Alt Penedès;Pontons;PP;PARTIDO POPULAR/PARTIT POPULAR;41;14,29
Barcelona;Alt Penedès;Pontons;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;37;12,89
Barcelona;Alt Penedès;Pontons;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);28;9,76
Barcelona;Alt Penedès;Pontons;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;15;5,23
Barcelona;Alt Penedès;Pontons;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;13;4,53
Barcelona;Alt Penedès;Pontons;VOX;VOX;10;3,48
Barcelona;Alt Penedès;Pontons;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;5;1,74
Barcelona;Alt Penedès;Pontons;RCERO;RECORTES CERO-GRUPO VERDE;1;0,35
Barcelona;Alt Penedès;Pontons;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Pontons;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Pontons;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;Pontons;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Alt Penedès;Puigdàlber;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;136;41,21
Barcelona;Alt Penedès;Puigdàlber;JxCAT;JUNTS PER CATALUNYA-JUNTS;79;23,94
Barcelona;Alt Penedès;Puigdàlber;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);29;8,79
Barcelona;Alt Penedès;Puigdàlber;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;22;6,67
Barcelona;Alt Penedès;Puigdàlber;VOX;VOX;21;6,36
Barcelona;Alt Penedès;Puigdàlber;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;16;4,85
Barcelona;Alt Penedès;Puigdàlber;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;11;3,33
Barcelona;Alt Penedès;Puigdàlber;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;7;2,12
Barcelona;Alt Penedès;Puigdàlber;PP;PARTIDO POPULAR/PARTIT POPULAR;5;1,52
Barcelona;Alt Penedès;Puigdàlber;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Puigdàlber;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Puigdàlber;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;Puigdàlber;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Alt Penedès;Puigdàlber;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Barcelona;Alt Penedès;Sant Cugat Sesgarrigues;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;244;39,10
Barcelona;Alt Penedès;Sant Cugat Sesgarrigues;JxCAT;JUNTS PER CATALUNYA-JUNTS;139;22,28
Barcelona;Alt Penedès;Sant Cugat Sesgarrigues;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);95;15,22
